"","RowNumber","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"4647",4647,15665008,"Sidorov",805,"Germany","Female",26,8,42712.87,2,1,1,28861.69,"0"
"45291",7012.80944146868,15624912.687048,"Pan",630.753850850742,"Germany","Female",45.3471563737839,3.44214060436934,182811.010425809,1,1,0,175662.341241137,"1"
"2271",2271,15622217,"Tu",538,"France","Female",38,8,88758.95,2,0,0,28226.15,"1"
"6401",6401,15585907,"Collier",676,"Spain","Female",30,5,0,2,0,0,179066.58,"0"
"3346",3346,15648320,"Heller",658,"France","Female",31,7,123974.96,1,1,0,102153.75,"0"
"33031",6455.25893189944,15714725.4917433,"Ugoji",666.779804221122,"Germany","Female",39.0145570195746,6.91173763992265,123401.154582751,1,1,0,75184.2452562668,"1"
"1232",1232,15749482,"Zack",772,"Spain","Male",30,4,78653.05,1,1,0,1790.48,"0"
"9281",943.585407719947,15691295.299571,"Iheanacho",576.474834178109,"Spain","Female",46.3761997660622,4.70846664067358,135189.307909467,1,1,0,92233.6459556276,"1"
"7571",7571,15791944,"Harker",697,"France","Male",32,7,175464.85,3,1,0,116442.42,"1"
"1474",1474,15594862,"Aleksandrova",552,"France","Male",36,8,0,2,0,0,132547.02,"0"
"50541",6933.92444744054,15670255.6418948,"P'eng",588.523114423268,"Germany","Male",29.7234825883061,2.52765174116939,129347.711654364,3,1,0,75670.3604223617,"1"
"57371",9418.04895708384,15738627.6617925,"North",714.845142422477,"France","Male",27.6171090011485,5.38289099885151,105080.335982449,1,1,0,9149.47322239684,"1"
"54851",9090.27320181695,15731559.5516609,"Rowley",540.758890853729,"Germany","Male",36.5120777890552,0,115947.226080006,1.31927979900502,1,1,124722.266556104,"1"
"8837",8837,15662483,"Ko",850,"France","Male",43,7,0,2,1,1,173851.11,"0"
"3330",5966.6936170361,15753311.1630876,"Kaodilinakachukwu",606.920106161851,"Germany","Male",49.6284955986775,9,120310.720204499,1,1,1,146753.785579937,"1"
"5837",5837,15617419,"Roberts",618,"Germany","Female",29,10,100315.1,2,1,1,32526.64,"0"
"5034",5034,15690743,"Shao",536,"France","Female",61,8,65190.29,1,1,1,64308.49,"1"
"15891",6494.47995789349,15700562.5837337,"Seppelt",849.145240724087,"Germany","Male",41.9818906933069,6.00724372267723,84412.0135674247,3.00362186133862,0,1,60281.1916369532,"1"
"2324",2324,15784676,"Fanucci",583,"France","Male",51,6,125268.03,2,1,0,165082.25,"0"
"4823",4823,15805704,"Murphy",745,"France","Female",32,2,0,4,0,1,179705.13,"1"
"8562",8562,15744913,"Chizoba",788,"Spain","Male",36,10,109632.85,1,1,1,16149.13,"0"
"6064",6064,15635256,"Arcuri",762,"France","Male",31,7,117687.35,1,1,1,159344.43,"0"
"5831.1",5831,15810711,"Marcum",684,"Germany","Male",37,4,138476.41,2,1,1,52367.29,"0"
"4714.2",4714,15764448,"Mackenzie",837,"Germany","Male",35,0,144037.6,1,1,0,145325.32,"0"
"2992",2992,15699284,"Johnson",584,"France","Male",49,8,172713.44,1,1,0,113860.81,"0"
"3260",3260,15778830,"Dellucci",841,"France","Male",31,2,0,2,1,0,173240.52,"0"
"34131",5429.8254351411,15681270.6179232,"Nnamdi",771.755715425359,"France","Female",47.2989402024541,2,116356.287506952,1,0,0,93056.7959327489,"1"
"3773",3773,15699486,"Johnson",745,"Spain","Male",34,7,132944.53,1,1,1,31802.92,"0"
"1288",1933.72550227866,15632117.9447509,"Collingridge de Tourcey",661.049955518916,"Spain","Female",35.1264104079455,2,30006.5128551771,1,1,0,111886.801241017,"1"
"39201",8727.44051059312,15636731.9980975,"Hung",663.418429767247,"Germany","Male",60.0568649817724,2.54720999719575,125303.163130868,3,0,0,127703.399403716,"1"
"49131",7348.48821526486,15655668.1171981,"Shen",592.471879059449,"France","Male",40.2393530560657,1,67691.7045610803,1,1,1,136833.088140696,"1"
"802.1",802,15762238,"Fraser",671,"Germany","Female",44,0,84745.03,2,0,1,34673.98,"0"
"1794.1",1794,15777922,"Afamefuna",629,"Spain","Male",36,1,161757.87,2,1,1,146371.72,"0"
"79",623.003649219871,15676606.5048869,"MacDonald",545.712097022217,"France","Female",49.9646314899437,0.843433191534132,19982.8754027285,1,0,1,10759.369914712,"1"
"6841",6841,15685826,"Hsiung",563,"France","Male",30,7,90727.79,1,1,0,122268.75,"0"
"6218",6218,15670866,"Chiu",693,"France","Male",31,2,0,2,1,1,107759.31,"0"
"57151",8062.72803418385,15577566.4765628,"Chienezie",672.163247286109,"France","Male",35.7955615939572,3.69889039848931,122399.690155388,1,1,0,79440.9624721235,"1"
"5583",5583,15596972,"Brownlow",534,"France","Male",38,3,0,1,0,0,143938.27,"0"
"2148.2",2148,15574167,"Fox",665,"France","Male",33,2,101286.11,1,1,1,159840.51,"0"
"5553.1",5553,15651315,"Dilke",627,"France","Male",41,3,0,2,1,0,132719.8,"0"
"16421",2377.10502434685,15676377.4403333,"Nebechukwu",672.04641832551,"Spain","Male",41.0278509953059,5.83178605581634,138775.003374964,1,1,1,69970.9720126413,"1"
"54281",8680.09888624772,15693532.7039101,"Houghton",646.246169974096,"France","Female",43.4352367725223,5.1528551587835,146119.411363919,1,1,0,66919.5381340234,"1"
"15201",3148.24629636714,15761582.837199,"Burke",599.038665910717,"France","Female",45.7167274788953,8.58111516525969,156851.104861975,2,0,0,150130.213093894,"1"
"3317",3317,15758116,"Rossi",666,"France","Male",53,5,64646.7,1,1,0,128019.48,"1"
"27651",4353.71843561344,15592220.2501767,"Kang",778.495812673587,"Germany","Male",47.6845118328929,9,83556.5072692479,1,1,0,126009.209588806,"1"
"44711",7278.55265067518,15696059.6354112,"Campbell",668.630477681756,"Germany","Female",44.2354480177164,7.23544801771641,78540.9182617584,2.92151732742786,0,0,60951.9611072256,"1"
"19561",4570.50921521056,15639405.9017184,"Munro",619,"France","Male",42.5715710516088,9.14280964946374,26744.5446624153,1,1,1,140838.300549133,"1"
"4089",6337.07286471385,15733284.6961305,"Kruglov",661.291297234595,"Spain","Female",44.9675287299324,0.580706077162176,110249.01920251,1.70964696141891,1,1,61060.171985664,"1"
"35671",4899.09975037258,15695968.4985338,"Algeranoff",800.513133613858,"Germany","Female",44.4193802236114,6.58061977638863,93175.4029964477,1,1,0,94700.2599364493,"1"
"5452.1",5452,15657830,"Andrews",663,"France","Male",43,4,87624.03,2,1,0,149401.33,"0"
"45321",7187.73536183638,15671898.4812115,"Bracewell",815.10150857456,"Spain","Male",55.6287394529209,1,173132.198784605,1,0,0,147606.988358039,"1"
"7833",7833,15664849,"Colon",573,"Spain","Male",46,3,65269.23,1,0,1,189988.65,"1"
"8059",8059,15698184,"Marshall",484,"France","Female",50,2,90408.16,2,0,0,48170.57,"0"
"5545",5545,15650864,"Power",507,"France","Male",42,6,0,2,1,0,34777.23,"0"
"22510",504.542825895594,15749473.4088499,"Kerr",642.167822294403,"Germany","Male",40.6712891776115,6.16782229440287,118635.787498658,2,0,1,82647.6548834719,"1"
"14281",3994.84639586275,15633857.0161025,"Miller",592.039071970619,"France","Female",56.9136751897167,8,115284.451782842,2,0,0,57016.3572370349,"1"
"9449.1",9449,15628274,"Ferri",583,"Germany","Male",35,8,149995.72,2,1,0,42143.55,"0"
"7175",7175,15785339,"H?",640,"France","Female",50,9,117565.03,2,0,0,82559.77,"0"
"5781",8316.50858239457,15691699.0298763,"Abramova",650.311481047189,"Spain","Male",49.159412486013,3.3840587513987,0,3.3840587513987,0,0,61611.7637406901,"1"
"806",806,15756026,"Hooper",790,"Spain","Female",46,9,0,1,0,0,14679.81,"1"
"8197.1",8197,15589312,"Larkin",588,"France","Male",30,3,115007.08,1,0,0,176858.5,"0"
"60711",9374.12926244549,15758905.9695389,"Yefimova",658.718500724994,"Germany","Female",54.1031860802323,6.34522087965161,52466.10296504,1,0,1,163994.243965616,"1"
"3436",3436,15719090,"Osonduagwuike",676,"Germany","Female",34,4,89437.03,1,1,1,189540.95,"0"
"7543",7543,15768777,"Wang",507,"Spain","Female",34,4,0,2,1,1,60688.38,"0"
"7587",7587,15748532,"Dale",828,"Spain","Male",42,10,0,1,1,1,186071.14,"0"
"5573",5573,15613140,"Mellor",565,"France","Male",34,6,0,1,1,1,63173.64,"0"
"7787",7787,15566380,"Drury",586,"Spain","Female",33,10,66948.67,2,1,1,140759.03,"0"
"8583.1",8583,15637947,"Wei",668,"Spain","Male",32,1,134446.04,1,0,1,111241.37,"0"
"44511",8335.82402665005,15727949.4725896,"Ugonna",743.833968654741,"Germany","Female",45.3806735577527,8.87613471155055,118098.478380429,3,1,0,102282.73500066,"1"
"2877",2877,15585284,"Thomson",604,"Spain","Female",35,7,147285.52,1,1,1,57807.05,"0"
"5293",7853.01543749403,15750233.5696619,"Milne",677.744673395762,"France","Female",43.7621204392053,2.11893978039734,122690.237490207,1,1,0,136678.62420467,"1"
"9647",9647,15603111,"Muir",850,"Spain","Male",71,10,69608.14,1,1,0,97893.4,"1"
"38231",6054.77337215329,15746048.0039783,"Nicholls",683.640168951359,"Spain","Male",58.7044064830989,8.95372880296782,0,2.95372880296782,1,1,72660.6574098603,"1"
"10631",2231.23121668864,15674665.0515851,"Pai",679.805591278709,"Spain","Female",36.6102504441515,7.17891671601683,61272.1084423182,3,1,0,118264.618946074,"1"
"4400",4400,15572547,"Vaguine",670,"France","Female",45,9,104930.38,1,1,0,155921.81,"1"
"2952",2952,15671655,"Thorpe",763,"Germany","Male",31,7,143966.3,2,1,1,140262.96,"1"
"8947",8947,15572294,"Kelly",623,"France","Male",28,7,0,1,0,0,129526.57,"0"
"5074.1",5074,15800295,"Cruz",644,"Germany","Male",34,9,112746.54,2,0,0,141230.07,"0"
"22831",3604.12700446555,15630876.42474,"Hsueh",713.653661768883,"Spain","Male",49.7819680927787,5.32726483722217,119616.871071708,1,1,1,64036.9234606974,"1"
"3540.2",3540,15761453,"Kovalev",667,"France","Male",42,6,0,1,1,0,88890.05,"0"
"3068.1",3068,15579781,"Buccho",806,"Germany","Male",31,10,138653.51,1,1,0,190803.37,"0"
"455",824.993529632222,15614539.7899015,"Logan",545.70602937229,"Spain","Female",59.8991386611015,6.89913866110146,129628.819169141,1,0,1,175374.426610075,"1"
"3645.3",3645,15626233,"Onyekachi",593,"France","Female",32,3,0,2,1,1,151978.36,"0"
"48331",8358.7122942654,15760723.1032382,"Chijindum",618.832509788219,"France","Male",52.2070457511581,5.20704575115815,143131.053225472,1,0,0,107976.126387833,"1"
"3516.1",3516,15665340,"Trevisano",584,"Spain","Female",37,8,0,2,0,1,100835.19,"0"
"50251",7572.52645128407,15600241.6008214,"Yin",682.662133209174,"Spain","Female",42.7911758478731,3.43406867934391,0,1,1,0,183288.743646452,"1"
"8970",8970,15622461,"Ndubuagha",562,"France","Female",51,7,122822,2,0,0,32626.21,"0"
"3003",3003,15672091,"Ulyanov",786,"Germany","Female",32,2,104336.43,2,0,0,59559.81,"0"
"6617",6617,15744046,"Andrejew",606,"Spain","Male",33,8,0,2,1,1,63176.77,"0"
"5081",5081,15764405,"Williams",731,"France","Male",29,10,0,2,1,1,162452.65,"0"
"8199",8199,15733888,"Sells",668,"Spain","Female",36,3,133686.52,1,1,0,190958.48,"1"
"3509",5822.15136455745,15739047.0342039,"Marino",515.341893324628,"Germany","Female",53.3531532362103,8.1127627696842,124010.755422466,1,1,0,12040.6249411678,"1"
"16531",3202.82109309547,15608355.0305415,"Buddicom",545.462711191736,"France","Male",53.7231355595868,5,109818.305473081,1,1,0,166940.426141392,"1"
"4294",6348.5692565199,15772477.9962233,"McVey",799.788047481794,"Spain","Male",47.600254308898,0.399745691101998,78196.6821205845,1.399745691102,1,0,84831.5329108092,"1"
"45121",6152.6671899748,15708111.3641106,"Hart",634.015474623302,"Spain","Male",37.1025140981656,2.10251409816556,0,3,1,1,88304.1916217527,"1"
"37251",3291.33718936355,15672862.60168,"Pearson",633.597628455376,"Spain","Female",32.3112122877501,8.34439385612495,0,1,1,1,50362.7690520944,"1"
"603",603,15782569,"Stout",687,"France","Female",72,9,0,1,0,1,69829.4,"0"
"1692",1692,15772933,"Mai",591,"Spain","Male",31,8,0,1,1,1,141677.33,"0"
"13311",2131.32408139529,15652640.0721697,"Anenechukwu",620.361520084552,"Germany","Female",53.98486205074,4,118377.457180164,1,1,1,133880.811989554,"1"
"8043",8043,15785352,"Chang",606,"France","Male",37,6,82373.94,1,0,0,172526.9,"1"
"7509",7509,15580366,"Okechukwu",566,"Germany","Male",54,4,118614.6,2,1,1,172601.62,"0"
"5334",6815.0767354928,15632723.4082334,"Rizzo",630.441257342463,"France","Female",49.4734542986844,7.80852883588523,0,1,0,0,145734.531023134,"1"
"4480.1",4480,15579112,"Gibson",598,"France","Male",47,2,0,2,1,1,186116.54,"0"
"9933",9933,15813451,"Fleetwood-Smith",677,"Spain","Male",18,8,134796.87,2,1,1,114858.9,"0"
"8372",8372,15661034,"Ngozichukwuka",813,"Germany","Female",29,5,106059.4,1,0,0,187976.88,"1"
"2803",2803,15723299,"Sorokina",774,"France","Male",53,4,113709.28,1,1,1,153887.93,"1"
"1421",1421,15753969,"K'ung",724,"Spain","Male",45,5,83888.54,1,0,1,34121.81,"0"
"4311",4311,15657881,"Onyemere",784,"France","Male",38,5,136712.91,1,0,1,169920.92,"0"
"5742.1",5742,15725036,"Jideofor",709,"France","Male",42,9,118546.71,1,0,1,77142.85,"0"
"2243",2243,15714397,"Trentino",621,"Germany","Female",30,2,101014.08,2,1,1,165257.31,"0"
